Id,Label,timeset,wordfrequency,distinctusersforword,userdiversity,wordfrequencydividedbyuniqueusers,wordfrequencymultipliedbyuniqueusers
44,7in10forroe,,79,70,88.610001,1.13,5530
80,actequal,,57,44,77.190002,1.3,2508
114,agenda2030,,65,60,92.309998,1.08,3900
271,ausoftheyear,,133,131,98.5,1.02,17423
273,auspol,,76,70,92.110001,1.09,5320
283,australianoftheyear,,109,109,100,1,11881
285,ausummit,,46,46,100,1,2116
442,breaking,,246,240,97.559998,1.03,59040
480,business,,83,76,91.57,1.09,6308
538,cdnpoli,,128,117,91.410004,1.09,14976
561,championforall,,55,51,92.730003,1.08,2805
667,corporateworkplace,,81,81,100,1,6561
694,csw60,,199,159,79.900002,1.25,31641
736,davos,,917,878,95.75,1.04,805126
738,davos2016,,426,406,95.309998,1.05,172956
761,demdebate,,61,59,96.720001,1.03,3599
767,demtownhall,,100,95,95,1.05,9500
804,diversity,,79,73,92.410004,1.08,5767
905,empowerwomen,,138,136,98.550003,1.01,18768
909,endfgm,,73,66,90.410004,1.11,4818
947,equality,,143,136,95.099998,1.05,19448
953,equalitymilestones,,46,45,97.830002,1.02,2070
959,equalpay,,70,67,95.709999,1.04,4690
968,eranow,,130,129,99.230003,1.01,16770
970,eritrea,,60,39,65,1.54,2340
1017,f4ge,,110,110,100,1,12100
1026,faith,,80,80,100,1,6400
1038,fashion,,79,56,70.889999,1.41,4424
1055,feelthebern,,50,47,94,1.06,2350
1073,feminism,,243,180,74.07,1.35,43740
1086,feminist,,47,40,85.110001,1.18,1880
1181,freethenipple,,86,69,80.230003,1.25,5934
1190,ft,,64,64,100,1,4096
1243,gender,,1247,946,75.860001,1.32,1179662
1251,genderequality,,708,409,57.77,1.73,289572
1253,genderequity,,60,59,98.330002,1.02,3540
1255,gendergap,,88,80,90.910004,1.1,7040
1306,gimac27,,108,66,61.110001,1.64,7128
1357,globalgoals,,242,217,89.669998,1.12,52514
1369,goal5,,76,61,80.260002,1.25,4636
1386,gopdebate,,319,303,94.980003,1.05,96657
1412,gregoryelliot,,51,51,100,1,2601
1437,happykyungsooday,,62,62,100,1,3844
1467,heforshe,,6344,5850,92.209999,1.08,37112400
1536,hr,,135,96,71.110001,1.41,12960
1619,impact10x10x10,,893,866,96.980003,1.03,773338
1624,imwithher,,115,106,92.169998,1.08,12190
1736,iwd2016,,47,45,95.739998,1.04,2115
1824,kenyaatausummit,,104,19,18.27,5.47,1976
1851,kristenstewart,,205,176,85.849998,1.16,36080
2174,mostbeautifulday,,62,58,93.550003,1.07,3596
2181,movementforpeace,,78,77,98.720001,1.01,6006
2211,muslimwomenrights,,633,553,87.360001,1.14,350049
2217,myanmar,,111,106,95.5,1.05,11766
2267,news,,296,204,68.919998,1.45,60384
2305,noceilings,,87,86,98.849998,1.01,7482
2327,notmeus,,96,94,97.919998,1.02,9024
2335,notthere,,80,78,97.5,1.03,6240
2516,planet5050,,79,77,97.470001,1.03,6083
2608,proudtobeafeminist,,62,62,100,1,3844
2650,radicalislam,,67,67,100,1,4489
2680,recruitment,,96,46,47.919998,2.09,4416
2705,reprorights,,106,93,87.739998,1.14,9858
2734,righttopray,,150,141,94,1.06,21150
2739,righttoworship,,69,60,86.959999,1.15,4140
2752,roe43,,52,45,86.540001,1.16,2340
2773,rwanda,,47,22,46.810001,2.14,1034
2775,sabarimala,,58,52,89.660004,1.12,3016
2834,sdg5,,82,72,87.800003,1.14,5904
2837,sdgs,,149,124,83.220001,1.2,18476
2860,serbia,,70,68,97.139999,1.03,4760
2894,shanishingnapur,,917,846,92.260002,1.08,775782
3061,stonehenge,,97,90,92.779999,1.08,8730
3156,tcot,,180,51,28.33,3.53,9180
3167,tech,,98,96,97.959999,1.02,9408
3199,thailand,,86,73,84.879997,1.18,6278
3322,troyetee,,92,33,35.869999,2.79,3036
3350,twitterbreakfastshow,,91,40,43.959999,2.28,3640
3374,uk,,65,57,87.690002,1.14,3705
3401,uniteblue,,315,22,6.98,14.32,6930
3438,vaastavmarathon,,302,89,29.469999,3.39,26878
3489,votetogether,,96,92,95.830002,1.04,8832
3500,waiting,,109,108,99.080002,1.01,11772
3504,walkthewalk,,85,84,98.82,1.01,7140
3508,waronwomen,,77,77,100,1,5929
3517,watch4women,,109,105,96.330002,1.04,11445
3537,wef,,302,287,95.029999,1.05,86674
3538,wef16,,544,515,94.669998,1.06,280160
3539,wef2016,,82,81,98.779999,1.01,6642
3553,westandbyparth,,98,72,73.470001,1.36,7056
3561,whatwomenwantin5words,,327,324,99.080002,1.01,105948
3567,whenwomenthrive,,116,83,71.550003,1.4,9628
3620,women,,216,170,78.699997,1.27,36720
3628,womenatthetop,,74,54,72.970001,1.37,3996
3666,womeninpolitics,,59,58,98.309998,1.02,3422
3673,womeninstem,,55,49,89.089996,1.12,2695
3674,womenintech,,64,54,84.379997,1.19,3456
3709,womensrights,,54,51,94.440002,1.06,2754
3806,youth2030,,131,89,67.940002,1.47,11659
3809,youth4genderequality,,60,47,78.330002,1.28,2820
